vial,cage,treatment,replicate,fecundity,experiment,side,bacteria,cagerep,trt,round
6-AX-A,6,AX,A,10,A,northeast,b2,2,b2-northeast,round1
6-AX-B,6,AX,B,13,A,northeast,b2,2,b2-northeast,round1
6-AX-C,6,AX,C,12,A,northeast,b2,2,b2-northeast,round1
6-GN-A,6,GN,A,7,A,northeast,b2,2,b2-northeast,round1
6-GN-B,6,GN,B,19,A,northeast,b2,2,b2-northeast,round1
6-GN-C,6,GN,C,54,A,northeast,b2,2,b2-northeast,round1
6-B2-A,6,B2,A,40,A,northeast,b2,2,b2-northeast,round1
6-B2-B,6,B2,B,32,A,northeast,b2,2,b2-northeast,round1
6-B2-C,6,B2,C,1,A,northeast,b2,2,b2-northeast,round1
10-AX-A,10,AX,A,14,A,northeast,aori,2,aori-northeast,round1
10-AX-B,10,AX,B,7,A,northeast,aori,2,aori-northeast,round1
10-AX-C,10,AX,C,12,A,northeast,aori,2,aori-northeast,round1
10-GN-A,10,GN,A,14,A,northeast,aori,2,aori-northeast,round1
10-GN-B,10,GN,B,0,A,northeast,aori,2,aori-northeast,round1
10-GN-C,10,GN,C,17,A,northeast,aori,2,aori-northeast,round1
10-B2-A,10,B2,A,0,A,northeast,aori,2,aori-northeast,round1
10-B2-B,10,B2,B,11,A,northeast,aori,2,aori-northeast,round1
10-B2-C,10,B2,C,10,A,northeast,aori,2,aori-northeast,round1
10-T2-A,10,T2,A,51,A,northeast,aori,2,aori-northeast,round1
10-T2-B,10,T2,B,43,A,northeast,aori,2,aori-northeast,round1
10-T2-C,10,T2,C,64,A,northeast,aori,2,aori-northeast,round1
10-45-A,10,45,A,40,A,northeast,aori,2,aori-northeast,round1
10-45-B,10,45,B,47,A,northeast,aori,2,aori-northeast,round1
10-45-C,10,45,C,46,A,northeast,aori,2,aori-northeast,round1
12-AX-A,12,AX,A,22,A,northeast,aori,3,aori-northeast,round1
12-AX-B,12,AX,B,27,A,northeast,aori,3,aori-northeast,round1
12-AX-C,12,AX,C,0,A,northeast,aori,3,aori-northeast,round1
12-GN-A,12,GN,A,4,A,northeast,aori,3,aori-northeast,round1
12-GN-B,12,GN,B,8,A,northeast,aori,3,aori-northeast,round1
12-GN-C,12,GN,C,0,A,northeast,aori,3,aori-northeast,round1
12-B2-A,12,B2,A,1,A,northeast,aori,3,aori-northeast,round1
12-B2-B,12,B2,B,19,A,northeast,aori,3,aori-northeast,round1
12-B2-C,12,B2,C,0,A,northeast,aori,3,aori-northeast,round1
12-T2-A,12,T2,A,28,A,northeast,aori,3,aori-northeast,round1
12-T2-B,12,T2,B,5,A,northeast,aori,3,aori-northeast,round1
12-T2-C,12,T2,C,5,A,northeast,aori,3,aori-northeast,round1
12-45-A,12,45,A,30,A,northeast,aori,3,aori-northeast,round1
12-45-B,12,45,B,30,A,northeast,aori,3,aori-northeast,round1
12-45-C,12,45,C,30,A,northeast,aori,3,aori-northeast,round1
CS-AX-d,CS,AX,d,3,B,NA,NA,NA,NA-NA,round1
CS-45-d,CS,45,d,2,B,NA,NA,NA,NA-NA,round1
CS-T2-d,CS,T2,d,1,B,NA,NA,NA,NA-NA,round1
CS-B2-d,CS,B2,d,1,B,NA,NA,NA,NA-NA,round1
1-AX-d,1,AX,d,18,B,southwest,b2,5,b2-southwest,round1
1-GN-d,1,GN,d,0,B,southwest,b2,5,b2-southwest,round1
1-GN-e,1,GN,e,0,B,southwest,b2,5,b2-southwest,round1
1-GN-f,1,GN,f,29,B,southwest,b2,5,b2-southwest,round1
2-GN-d,2,GN,d,30,B,northeast,aori,1,aori-northeast,round1
2-GN-e,2,GN,e,40,B,northeast,aori,1,aori-northeast,round1
2-GN-f,2,GN,f,42,B,northeast,aori,1,aori-northeast,round1
2-45-d,2,45,d,32,B,northeast,aori,1,aori-northeast,round1
2-45-e,2,45,e,19,B,northeast,aori,1,aori-northeast,round1
2-45-f,2,45,f,0,B,northeast,aori,1,aori-northeast,round1
2-T2-d,2,T2,d,37,B,northeast,aori,1,aori-northeast,round1
2-T2-e,2,T2,e,42,B,northeast,aori,1,aori-northeast,round1
2-T2-f,2,T2,f,36,B,northeast,aori,1,aori-northeast,round1
2-B2-d,2,B2,d,17,B,northeast,aori,1,aori-northeast,round1
2-B2-e,2,B2,e,21,B,northeast,aori,1,aori-northeast,round1
2-B2-f,2,B2,f,42,B,northeast,aori,1,aori-northeast,round1
3-AX-d,3,AX,d,7,B,southwest,t2,5,t2-southwest,round1
3-GN-d,3,GN,d,21,B,southwest,t2,5,t2-southwest,round1
3-GN-e,3,GN,e,42,B,southwest,t2,5,t2-southwest,round1
3-GN-f,3,GN,f,24,B,southwest,t2,5,t2-southwest,round1
5-AX-d,5,AX,d,14,B,southwest,aori,5,aori-southwest,round1
5-GN-d,5,GN,d,26,B,southwest,aori,5,aori-southwest,round1
5-GN-e,5,GN,e,37,B,southwest,aori,5,aori-southwest,round1
5-GN-f,5,GN,f,44,B,southwest,aori,5,aori-southwest,round1
6-GN-d,6,GN,d,21,B,northeast,b2,2,b2-northeast,round1
