"","cage","treatment","side","edge","variable","timecol","datecol","JMCcol","value","time","ts","tst","Date"
"1",1,"b2","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"2",1,"b2","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"3",1,"b2","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"4",1,"b2","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"5",1,"b2","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"6",1,"b2","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"7",1,"b2","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"8",1,"b2","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"9",2,"45","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"10",2,"45","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"11",2,"45","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"12",2,"45","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"13",2,"45","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"14",2,"45","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"15",2,"45","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"16",2,"45","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"17",3,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"18",3,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"19",3,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"20",3,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"21",3,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"22",3,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"23",3,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"24",3,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"25",4,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"26",4,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"27",4,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"28",4,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"29",4,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"30",4,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"31",4,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"32",4,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"33",5,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"34",5,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"35",5,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"36",5,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"37",5,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"38",5,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"39",5,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"40",5,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"41",6,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"42",6,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"43",6,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"44",6,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"45",6,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"46",6,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"47",6,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"48",6,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"49",7,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"50",7,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"51",7,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"52",7,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"53",7,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"54",7,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"55",7,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"56",7,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"57",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"58",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"59",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"60",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"61",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"62",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"63",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"64",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"65",9,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"66",9,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"67",9,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"68",9,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"69",9,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
